Loan_ID,Applicant_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Tenure_Months,Loan_Purpose,Loan_Grade,EMI_Amount,Issue_Date,Debt_To_Income_%,Loan_Status,Issue_Year,Issue_Month,Issue_Quarter,DTI_Risk,Loan_Size
LN000001,APP16888,Personal Loan,77000.0,16.19,60,Wedding,D,1880.27,2024-03-09,2.48,Active,2024,3,1,Low Risk,Small
LN000002,APP19301,Auto Loan,787000.0,14.99,24,Debt Consolidation,D,38155.25,2025-01-23,48.66,Active,2025,1,1,High Risk,Large
LN000003,APP05290,Business Loan,1034000.0,17.85,24,Home Renovation,E,51546.61,2024-06-12,106.37,Active,2024,6,2,Very High Risk,Very Large
LN000004,APP05255,Personal Loan,98000.0,17.05,12,Home Renovation,D,8940.39,2025-05-24,35.17,Closed,2025,5,2,High Risk,Small
LN000005,APP09064,Education Loan,707000.0,17.66,84,Wedding,D,14719.05,2023-12-24,28.6,Closed,2023,12,4,Moderate Risk,Large
LN000006,APP09007,Home Loan,3651000.0,13.54,120,Debt Consolidation,B,55682.36,2023-10-04,90.41,Active,2023,10,4,Very High Risk,Very Large
LN000007,APP03942,Home Loan,415000.0,16.35,120,Home Renovation,B,35959.59,2025-08-19,67.54,Closed,2025,8,3,Very High Risk,Medium
LN000008,APP15198,Personal Loan,381000.0,17.16,36,Home Renovation,D,13614.05,2026-04-10,21.73,Active,2026,4,2,Moderate Risk,Medium
LN000009,APP08933,Gold Loan,117000.0,18.01,12,Home Purchase,E,10727.12,2024-06-30,16.45,Active,2024,6,2,Low Risk,Medium
LN000010,APP04929,Auto Loan,838000.0,16.74,60,Wedding,E,20709.49,2024-06-18,32.23,Active,2024,6,2,Moderate Risk,Large
LN000011,APP05187,Business Loan,295000.0,18.21,12,Home Purchase,E,27075.09,2025-01-17,59.87,Active,2025,1,1,Very High Risk,Medium
LN000012,APP19787,Personal Loan,362000.0,17.4,48,Wedding,D,10520.59,2025-03-26,20.0,Active,2025,3,1,Low Risk,Medium
LN000013,APP02716,Home Loan,1532000.0,17.7,120,Vehicle Purchase,E,27309.17,2026-03-06,81.87,Closed,2026,3,1,Very High Risk,Very Large
LN000014,APP01221,Gold Loan,34000.0,13.96,18,Investment,B,2104.48,2026-01-21,1.78,Closed,2026,1,1,Low Risk,Small
LN000015,APP01997,Education Loan,435000.0,15.56,36,Education,C,15198.98,2026-03-16,36.48,Active,2026,3,1,High Risk,Medium
LN000016,APP13518,Home Loan,804000.0,17.07,180,Education,D,12413.5,2025-03-01,74.24,Active,2025,3,1,Very High Risk,Large
LN000017,APP19166,Auto Loan,750000.0,17.05,48,Debt Consolidation,D,21660.69,2025-06-04,36.03,Active,2025,6,2,High Risk,Large
LN000018,APP15582,Business Loan,1228000.0,19.47,12,Medical Emergency,F,113443.91,2025-02-16,185.28,Active,2025,2,1,Very High Risk,Very Large
LN000019,APP14476,Business Loan,489000.0,15.02,60,Business Expansion,C,11638.41,2026-02-27,15.74,Active,2026,2,1,Low Risk,Medium
